-0.473498	-0.267762	0.492216	0.803802	-0.441681	-0.00779147	-0.398447	
-0.473486	-0.267765	0.492214	0.803809	-0.441683	-0.00779697	-0.39843	
-0.473472	-0.267768	0.492212	0.803817	-0.441684	-0.00780334	-0.398411	
-0.47346	-0.267771	0.49221	0.803825	-0.441686	-0.00780956	-0.398393	
-0.473442	-0.267774	0.492211	0.803842	-0.441693	-0.00779197	-0.398352	
-0.473394	-0.267785	0.492229	0.803904	-0.441723	-0.00764374	-0.398198	
-0.473335	-0.267798	0.492249	0.80399	-0.441759	-0.00743056	-0.397987	
-0.473273	-0.267813	0.492268	0.804096	-0.441797	-0.00716269	-0.397736	
-0.473209	-0.26783	0.49228	0.804217	-0.441835	-0.00684793	-0.397454	
-0.47314	-0.267848	0.492291	0.804348	-0.441877	-0.00650396	-0.397148	
-0.473065	-0.267866	0.492301	0.804488	-0.441922	-0.00612925	-0.396821	
-0.472986	-0.267885	0.492309	0.804633	-0.441968	-0.00572874	-0.39648	
-0.47291	-0.267903	0.492313	0.804776	-0.442013	-0.00531873	-0.396147	
-0.472837	-0.267919	0.492314	0.804911	-0.442058	-0.00490588	-0.395827	
-0.472769	-0.267933	0.492309	0.805036	-0.442103	-0.00449399	-0.395527	
-0.4727	-0.267946	0.492302	0.805157	-0.442148	-0.00407771	-0.395235	
-0.472628	-0.267962	0.492298	0.805278	-0.442197	-0.00364354	-0.394939	
-0.472551	-0.267978	0.492294	0.8054	-0.442247	-0.00319271	-0.394637	
-0.472475	-0.267996	0.492289	0.80552	-0.442298	-0.00272392	-0.394337	
-0.472394	-0.268014	0.492285	0.805639	-0.442352	-0.00224206	-0.394038	
-0.472311	-0.268034	0.49228	0.805752	-0.442407	-0.00175401	-0.393747	
-0.472227	-0.268054	0.492275	0.805858	-0.442464	-0.00126138	-0.393468	
-0.472141	-0.268075	0.492272	0.805961	-0.442522	-0.000764257	-0.393192	
-0.472054	-0.268096	0.492273	0.806062	-0.44258	-0.00026173	-0.39292	
-0.471961	-0.26812	0.492277	0.806165	-0.442643	0.000252797	-0.39264	
-0.471864	-0.268145	0.492285	0.806267	-0.442708	0.000778272	-0.392355	
-0.471763	-0.268172	0.492293	0.806369	-0.442774	0.00131029	-0.392069	
-0.471661	-0.2682	0.492304	0.806467	-0.442842	0.00184632	-0.391787	
-0.47156	-0.268227	0.492313	0.806561	-0.44291	0.00238499	-0.391517	
-0.471459	-0.268254	0.492324	0.806647	-0.442978	0.00292454	-0.391257	
-0.471362	-0.268279	0.492335	0.806728	-0.443044	0.00345896	-0.391012	
-0.471263	-0.268303	0.492348	0.806805	-0.443113	0.00399742	-0.390769	
-0.471166	-0.268327	0.492359	0.80688	-0.44318	0.00454027	-0.390532	
-0.471074	-0.268349	0.492366	0.806953	-0.443245	0.00508709	-0.390302	
-0.470987	-0.26837	0.492369	0.807022	-0.443306	0.00563541	-0.390081	
-0.470905	-0.268389	0.492369	0.807087	-0.443365	0.00618473	-0.389872	
-0.470826	-0.268409	0.492365	0.807148	-0.443422	0.00673813	-0.38967	
-0.470747	-0.268431	0.492356	0.807208	-0.443476	0.00728902	-0.389476	
-0.47067	-0.268453	0.492345	0.807265	-0.443523	0.00783334	-0.389293	
-0.470594	-0.268477	0.492333	0.807317	-0.443571	0.00837918	-0.389119	
-0.470518	-0.268502	0.492322	0.807366	-0.443616	0.00892674	-0.388955	
